sample_accession,collection_date,isolation_source
SAMN31890599,2021-10,missing
SAMN31890609,2021-10,missing
SAMN31890614,2021-10,missing
SAMN31890603,2021-10,missing
SAMN31890611,2021-10,missing
SAMN31890604,2021-10,missing
SAMN31890623,2021-10,missing
SAMN31890621,2021-10,missing
SAMN31890580,2021-10,missing
SAMN31890593,2021-10,missing
SAMN31890624,2021-10,missing
SAMN31890607,2021-10,missing
SAMN31890619,2021-10,missing
SAMN31890625,2021-10,missing
SAMN31890622,2021-10,missing
SAMN31890620,2021-10,missing
SAMN31890618,2021-10,missing
SAMN31890629,2021-10,missing
SAMN31890610,2021-10,missing
SAMN31890617,2021-10,missing
SAMN31890576,2021-10,missing
SAMN31890626,2021-10,missing
SAMN31890589,2021-10,missing
SAMN31890628,2021-10,missing
SAMN31890579,2021-10,missing
SAMN31890597,2021-10,missing
SAMN31890577,2021-10,missing
SAMN31890601,2021-10,missing
SAMN31890584,2021-10,missing
SAMN31890586,2021-10,missing
SAMN31890590,2021-10,missing
SAMN31890592,2021-10,missing
SAMN31890627,2021-10,missing
SAMN31890600,2021-10,missing
SAMN31890615,2021-10,missing
SAMN31890595,2021-10,missing
SAMN31890606,2021-10,missing
SAMN31890605,2021-10,missing
SAMN31890630,2021-10,missing
SAMN31890608,2021-10,missing
SAMN31890578,2021-10,missing
SAMN31890585,2021-10,missing
SAMN31890612,2021-10,missing
SAMN31890591,2021-10,missing
SAMN31890598,2021-10,missing
SAMN31890596,2021-10,missing
SAMN31890587,2021-10,missing
SAMN31890588,2021-10,missing
SAMN31890594,2021-10,missing
SAMN31890616,2021-10,missing
SAMN31890613,2021-10,missing
SAMN31890582,2021-10,missing
SAMN31890602,2021-10,missing
SAMN31890581,2021-10,missing
SAMN31890583,2021-10,missing
